P(a | a ) = 0.00023840867392949322
P(h | e ) = 0.0007075456102415574
P(i | e ) = 0.01825732177455084
P(j | e ) = 0.0019242595568251702
P(k | e ) = 5.951318216985062e-05
P(l | e ) = 0.03615095188028593
P(m | e ) = 0.05752279685505895
P(n | e ) = 0.16972498297261732
P(o | e ) = 0.0019507098600117705
P(p | e ) = 0.022608396648746587
P(q | e ) = 0.0032996753225283844
P(r | e ) = 0.11871557327725869
P(s | e ) = 0.24898331647126506
P(t | e ) = 0.10862478261157069
P(u | e ) = 0.07410713695305732
P(v | e ) = 0.015506490243144412
P(w | e ) = 0.0004562677299688548
P(x | e ) = 0.008312007776389137
P(y | e ) = 0.00041659227518895433
P(z | e ) = 0.008351683231169037
P(a | f ) = 0.19019853863753783
P(  | f ) = 7.380618495829951e-05
P(b | f ) = 7.380618495829951e-05
P(c | f ) = 7.380618495829951e-05
P(d | f ) = 0.00022141855487489852
P(e | f ) = 0.12775850616281645
P(f | f ) = 0.09292198686249908
P(g | f ) = 7.380618495829951e-05
P(h | f ) = 7.380618495829951e-05
P(i | f ) = 0.13720569783747877
P(j | f ) = 7.380618495829951e-05
P(k | f ) = 7.380618495829951e-05
P(l | f ) = 0.07004206952542623
P(m | f ) = 7.380618495829951e-05
P(n | f ) = 7.380618495829951e-05
P(o | f ) = 0.1924127241862868
P(p | f ) = 7.380618495829951e-05
P(q | f ) = 7.380618495829951e-05
P(r | f ) = 0.08878884050483431
P(s | f ) = 0.00893054837995424
P(t | f ) = 0.0006642556646246955
P(u | f ) = 0.0896745147243339
P(v | f ) = 7.380618495829951e-05
P(w | f ) = 7.380618495829951e-05
P(x | f ) = 7.380618495829951e-05
P(y | f ) = 7.380618495829951e-05
P(z | f ) = 7.380618495829951e-05
P(a | g ) = 0.12471150019896537
P(  | g ) = 7.958615200955034e-05
P(b | g ) = 7.958615200955034e-05
P(c | g ) = 7.958615200955034e-05
P(d | g ) = 7.958615200955034e-05
P(e | g ) = 0.3372065260644648
P(f | g ) = 0.0008754476721050537
P(g | g ) = 0.0019896538002387586
P(h | g ) = 0.000716275368085953
P(i | g ) = 0.07122960604854756
P(j | g ) = 7.958615200955034e-05
P(k | g ) = 7.958615200955034e-05
P(l | g ) = 0.04719458814166335
P(m | g ) = 0.0024671707122960605
P(n | g ) = 0.10433744528452049
P(o | g ) = 0.04910465578989256
P(p | g ) = 7.958615200955034e-05
P(q | g ) = 7.958615200955034e-05
P(r | g ) = 0.11882212495025865
P(s | g ) = 0.008993235177079189
P(t | g ) = 0.03223239156386789
P(u | g ) = 0.09653800238758456
P(v | g ) = 7.958615200955034e-05
P(w | g ) = 7.958615200955034e-05
P(x | g ) = 7.958615200955034e-05
P(y | g ) = 0.0024671707122960605
P(z | g ) = 0.000238758456028651
P(a | h ) = 0.31023774866569626
P(  | h ) = 9.704027171276079e-05
P(b | h ) = 9.704027171276079e-05
P(c | h ) = 9.704027171276079e-05
P(d | h ) = 9.704027171276079e-05
P(e | h ) = 0.3601164483260553
P(f | h ) = 9.704027171276079e-05
P(g | h ) = 9.704027171276079e-05
P(h | h ) = 9.704027171276079e-05
P(i | h ) = 0.08646288209606987
P(j | h ) = 9.704027171276079e-05
P(k | h ) = 9.704027171276079e-05
P(l | h ) = 0.0012615235322658903
P(m | h ) = 0.004366812227074236
P(n | h ) = 0.0010674429888403688
P(o | h ) = 0.1487627365356623
P(p | h ) = 9.704027171276079e-05
P(q | h ) = 9.704027171276079e-05
P(r | h ) = 0.008442503639010189
P(s | h ) = 0.0022319262493934984
P(t | h ) = 0.001455604075691412
P(u | h ) = 0.04590004852013586
P(v | h ) = 9.704027171276079e-05
P(w | h ) = 9.704027171276079e-05
P(x | h ) = 9.704027171276079e-05
P(y | h ) = 0.028238719068413392
P(z | h ) = 9.704027171276079e-05
P(a | i ) = 0.011424385870931772
P(  | i ) = 1.0932426670748106e-05
P(b | i ) = 0.010768440270686885
P(c | i ) = 0.01951438160728537
P(d | i ) = 0.0181806255534541
P(e | i ) = 0.13277432191623575
P(f | i ) = 0.010462332323905938
P(g | i ) = 0.018202490406795595
P(h | i ) = 0.00025144581342720644
P(i | i ) = 3.279728001224432e-05
P(j | i ) = 0.0029845524811142328
P(k | i ) = 0.00044822949350067237
P(l | i ) = 0.11899946431109314
P(m | i ) = 0.025833324222977773
P(n | i ) = 0.13268686250286976
P(o | i ) = 0.045686611057056334
P(p | i ) = 0.005848848268850237
P(q | i ) = 0.01831181467350308
P(r | i ) = 0.06411868242393765
P(s | i ) = 0.1468115577614763
P(t | i ) = 0.1845065649222158
P(u | i ) = 0.0007980671469646118
P(v | i ) = 0.019820489554066317
P(w | i ) = 1.0932426670748106e-05
P(x | i ) = 0.008691279203244744
P(y | i ) = 1.0932426670748106e-05
P(z | i ) = 0.0028096336543822634
P(a | j ) = 0.15121188428459734
P(  | j ) = 0.0001563721657544957
P(b | j ) = 0.0001563721657544957
P(c | j ) = 0.0001563721657544957
P(d | j ) = 0.0001563721657544957
P(e | j ) = 0.598436278342455
P(f | j ) = 0.0001563721657544957
P(g | j ) = 0.0001563721657544957
P(h | j ) = 0.0004691164972634871
P(i | j ) = 0.0026583268178264267
P(j | j ) = 0.0001563721657544957
P(k | j ) = 0.0001563721657544957
P(l | j ) = 0.0001563721657544957
P(m | j ) = 0.0001563721657544957
P(n | j ) = 0.0001563721657544957
P(o | j ) = 0.16403440187646598
P(p | j ) = 0.0001563721657544957
P(q | j ) = 0.0001563721657544957
P(r | j ) = 0.0001563721657544957
P(s | j ) = 0.0001563721657544957
P(t | j ) = 0.0001563721657544957
P(u | j ) = 0.07802971071149335
P(v | j ) = 0.0001563721657544957
P(w | j ) = 0.0001563721657544957
P(x | j ) = 0.0001563721657544957
P(y | j ) = 0.002032838154808444
P(z | j ) = 0.0001563721657544957
P(a | k ) = 0.14385964912280702
P(  | k ) = 0.0035087719298245615
P(b | k ) = 0.0035087719298245615
P(c | k ) = 0.0035087719298245615
P(d | k ) = 0.0035087719298245615
P(e | k ) = 0.07368421052631578
P(f | k ) = 0.0035087719298245615
P(g | k ) = 0.0035087719298245615
P(h | k ) = 0.017543859649122806
P(i | k ) = 0.36140350877192984
P(j | k ) = 0.0035087719298245615
P(k | k ) = 0.0035087719298245615
P(l | k ) = 0.03859649122807018
P(m | k ) = 0.0035087719298245615
P(n | k ) = 0.017543859649122806
P(o | k ) = 0.22105263157894736
P(p | k ) = 0.0035087719298245615
P(q | k ) = 0.0035087719298245615
P(r | k ) = 0.010526315789473684
P(s | k ) = 0.0456140350877193
P(t | k ) = 0.0035087719298245615
P(u | k ) = 0.010526315789473684
P(v | k ) = 0.0035087719298245615
P(w | k ) = 0.0035087719298245615
P(x | k ) = 0.0035087719298245615
P(y | k ) = 0.0035087719298245615
P(z | k ) = 0.0035087719298245615
P(a | l ) = 0.20838067960711673
P(  | l ) = 1.5565898230157372e-05
P(b | l ) = 0.0018212100929284123
P(c | l ) = 0.0031287455442616315
P(d | l ) = 0.0009183879955792849
P(e | l ) = 0.41425524959917814
P(f | l ) = 0.0025683732079759664
P(g | l ) = 0.002350450632753763
P(h | l ) = 0.007954173995610417
P(i | l ) = 0.06726024625251
P(j | l ) = 1.5565898230157372e-05
P(k | l ) = 7.782949115078686e-05
P(l | l ) = 0.09001758946500008
P(m | l ) = 0.0033155363230235203
P(n | l ) = 0.0031598773407219465
P(o | l ) = 0.07513659075696963
P(p | l ) = 0.001634419314166524
P(q | l ) = 0.012686207057578258
P(r | l ) = 0.0008561244026586554
P(s | l ) = 0.017013526765562007
P(t | l ) = 0.0053391030929439785
P(u | l ) = 0.07955730585433432
P(v | l ) = 0.0007938608097380259
P(w | l ) = 7.782949115078686e-05
P(x | l ) = 4.6697694690472116e-05
P(y | l ) = 0.0015721557212458946
P(z | l ) = 4.6697694690472116e-05
P(a | m ) = 0.1681578229943741
P(  | m ) = 2.4783761679347693e-05
P(b | m ) = 0.036407345906961756
P(c | m ) = 2.4783761679347693e-05
P(d | m ) = 2.4783761679347693e-05
P(e | m ) = 0.3847679000718729
P(f | m ) = 2.4783761679347693e-05
P(g | m ) = 0.0002230538551141292
P(h | m ) = 0.0002726213784728246
P(i | m ) = 0.09331086272274405
P(j | m ) = 2.4783761679347693e-05
P(k | m ) = 0.0005204589952663016
P(l | m ) = 2.4783761679347693e-05
P(m | m ) = 0.07115417978140723
P(n | m ) = 0.0009169991821358646
P(o | m ) = 0.15254405313638503
P(p | m ) = 0.07115417978140723
P(q | m ) = 2.4783761679347693e-05
P(r | m ) = 2.4783761679347693e-05
P(s | m ) = 0.0008674316587771692
P(t | m ) = 0.00012391880839673845
P(u | m ) = 0.016035093806537955
P(v | m ) = 2.4783761679347693e-05
P(w | m ) = 2.4783761679347693e-05
P(x | m ) = 2.4783761679347693e-05
P(y | m ) = 0.0032466727799945476
P(z | m ) = 2.4783761679347693e-05
P(a | n ) = 0.06043896637474321
P(  | n ) = 1.2013310748309126e-05
P(b | n ) = 3.603993224492738e-05
P(c | n ) = 0.05553753558943309
P(d | n ) = 0.08946312514265807
P(e | n ) = 0.1768960007688519
P(f | n ) = 0.008589517185041026
P(g | n ) = 0.030742062204923055
P(h | n ) = 0.00046851911918405594
P(i | n ) = 0.03470645475186507
P(j | n ) = 0.0004444924976874377
P(k | n ) = 3.603993224492738e-05
P(l | n ) = 0.000852945063129948
P(m | n ) = 0.0002282529042178734
P(n | n ) = 0.03271224516764575
P(o | n ) = 0.06060715272521954
P(p | n ) = 3.603993224492738e-05
P(q | n ) = 0.0094785021804159
P(r | n ) = 0.0020302495164642425
P(s | n ) = 0.13417666774786463
P(t | n ) = 0.2793695414519287
P(u | n ) = 0.012457803245996563
P(v | n ) = 0.00714791989524393
P(w | n ) = 8.409317523816389e-05
P(x | n ) = 0.00010811979673478214
P(y | n ) = 0.0012613976285724582
P(z | n ) = 0.002078302759457479
P(a | o ) = 0.0010166422951047977
P(  | o ) = 1.3926606782257503e-05
P(b | o ) = 0.01477612979597521
P(c | o ) = 0.018814845762829886
P(d | o ) = 0.0099296706357496
P(e | o ) = 0.005751688601072349
P(f | o ) = 0.01165656987674953
P(g | o ) = 0.003913376505814358
P(h | o ) = 0.00018104588816934754
P(i | o ) = 0.08984054035234315
P(j | o ) = 0.0010444955086693127
P(k | o ) = 0.00040387159668546757
P(l | o ) = 0.03232365434161966
P(m | o ) = 0.07215374973887612
P(n | o ) = 0.30456096372118935
P(o | o ) = 0.001545853352830583
P(p | o ) = 0.01343917554487849
P(q | o ) = 0.0055845693196852585
P(r | o ) = 0.09440846737692361
P(s | o ) = 0.028257085161200474
P(t | o ) = 0.03937051737344196
P(u | o ) = 0.2374625722442727
P(v | o ) = 0.002409302973330548
P(w | o ) = 0.0003481651695564376
P(x | o ) = 0.0008495230137177077
P(y | o ) = 0.009846110995056055
P(z | o ) = 9.748624747580253e-05
P(a | p ) = 0.22346819305320673
P(  | p ) = 2.601795238714713e-05
P(b | p ) = 7.80538571614414e-05
P(c | p ) = 0.00023416157148432417
P(d | p ) = 2.601795238714713e-05
P(e | p ) = 0.15681019903733576
P(f | p ) = 2.601795238714713e-05
P(g | p ) = 2.601795238714713e-05
P(h | p ) = 0.023806426434239625
P(i | p ) = 0.08130610120983478
P(j | p ) = 2.601795238714713e-05
P(k | p ) = 2.601795238714713e-05
P(l | p ) = 0.09462729283205412
P(m | p ) = 2.601795238714713e-05
P(n | p ) = 7.80538571614414e-05
P(o | p ) = 0.16216989722908806
P(p | p ) = 0.04196695720046832
P(q | p ) = 2.601795238714713e-05
P(r | p ) = 0.1509821777026148
P(s | p ) = 0.015116430336932484
P(t | p ) = 0.016573435670612723
P(u | p ) = 0.03202809938857812
P(v | p ) = 7.80538571614414e-05
P(w | p ) = 2.601795238714713e-05
P(x | p ) = 2.601795238714713e-05
P(y | p ) = 0.00039026928580720695
P(z | p ) = 2.601795238714713e-05
P(a | q ) = 6.651147322913203e-05
P(  | q ) = 6.651147322913203e-05
P(b | q ) = 6.651147322913203e-05
P(c | q ) = 6.651147322913203e-05
P(d | q ) = 6.651147322913203e-05
P(e | q ) = 6.651147322913203e-05
P(f | q ) = 6.651147322913203e-05
P(g | q ) = 6.651147322913203e-05
P(h | q ) = 6.651147322913203e-05
P(i | q ) = 6.651147322913203e-05
P(j | q ) = 6.651147322913203e-05
P(k | q ) = 6.651147322913203e-05
P(l | q ) = 6.651147322913203e-05
P(m | q ) = 6.651147322913203e-05
P(n | q ) = 6.651147322913203e-05
P(o | q ) = 6.651147322913203e-05
P(p | q ) = 6.651147322913203e-05
P(q | q ) = 6.651147322913203e-05
P(r | q ) = 6.651147322913203e-05
P(s | q ) = 6.651147322913203e-05
P(t | q ) = 6.651147322913203e-05
P(u | q ) = 0.9982707016960426
P(v | q ) = 6.651147322913203e-05
P(w | q ) = 6.651147322913203e-05
P(x | q ) = 6.651147322913203e-05
P(y | q ) = 6.651147322913203e-05
P(z | q ) = 6.651147322913203e-05
P(a | r ) = 0.13348870418019426
P(  | r ) = 1.3471460710484838e-05
P(b | r ) = 0.005267341137799571
P(c | r ) = 0.022726354218587923
P(d | r ) = 0.03105171693766755
P(e | r ) = 0.3763791407902359
P(f | r ) = 0.00796163327989654
P(g | r ) = 0.009766809015101508
P(h | r ) = 0.0005523298891298784
P(i | r ) = 0.09361318047715914
P(j | r ) = 6.735730355242419e-05
P(k | r ) = 0.000498444046287939
P(l | r ) = 0.00618340046611254
P(m | r ) = 0.025824790181999433
P(n | r ) = 0.013026902507038838
P(o | r ) = 0.08965257102827659
P(p | r ) = 0.00957820856515472
P(q | r ) = 0.004728482709380178
P(r | r ) = 0.030647573116353004
P(s | r ) = 0.06238633455025529
P(t | r ) = 0.04452317764815239
P(u | r ) = 0.016286995998976168
P(v | r ) = 0.01458959194945508
P(w | r ) = 9.430022497339387e-05
P(x | r ) = 1.3471460710484838e-05
P(y | r ) = 0.000740930339076666
P(z | r ) = 0.00033678651776212094
P(a | s ) = 0.11730859338393777
P(  | s ) = 1.87423859057258e-05
P(b | s ) = 0.0003186205603973386
P(c | s ) = 0.015537437915846688
P(d | s ) = 0.0007684378221347578
P(e | s ) = 0.26406147502577076
P(f | s ) = 0.0012557398556836286
P(g | s ) = 0.0005435291912660482
P(h | s ) = 0.00046855964764314496
P(i | s ) = 0.113260238028301
P(j | s ) = 0.009652328741448786
P(k | s ) = 0.0001686814731515322
P(l | s ) = 0.0012932246274950801
P(m | s ) = 0.006391153593852498
P(n | s ) = 0.0016305875737981446
P(o | s ) = 0.10891200449817262
P(p | s ) = 0.03105613344578765
P(q | s ) = 0.021122668915752974
P(r | s ) = 0.000281135788585887
P(s | s ) = 0.123718489363696
P(t | s ) = 0.0970668166057539
P(u | s ) = 0.0825976946865336
P(v | s ) = 0.0006184987348889513
P(w | s ) = 1.87423859057258e-05
P(x | s ) = 1.87423859057258e-05
P(y | s ) = 0.0018929809764783056
P(z | s ) = 1.87423859057258e-05
P(a | t ) = 0.15308557790658028
P(  | t ) = 1.794462289374989e-05
P(b | t ) = 0.000161501606043749
P(c | t ) = 0.0038939831679437255
P(d | t ) = 0.00034094783498124785
P(e | t ) = 0.30338973926462937
P(f | t ) = 0.00019739085183124877
P(g | t ) = 5.3833868681249665e-05
P(h | t ) = 0.007016347551456206
P(i | t ) = 0.15602849606115526
P(j | t ) = 0.000161501606043749
P(k | t ) = 8.972311446874944e-05
P(l | t ) = 0.002530191828018734
P(m | t ) = 0.002422524090656235
P(n | t ) = 0.0002691693434062483
P(o | t ) = 0.06185511511475587
P(p | t ) = 8.972311446874944e-05
P(q | t ) = 0.0006639510470687459
P(r | t ) = 0.1666158235684677
P(s | t ) = 0.05101656288693093
P(t | t ) = 0.05722540240816839
P(u | t ) = 0.03170814865325605
P(v | t ) = 1.794462289374989e-05
P(w | t ) = 5.3833868681249665e-05
P(x | t ) = 1.794462289374989e-05
P(y | t ) = 0.0007357295386437455
P(z | t ) = 0.00034094783498124785
P(a | u ) = 0.032920583468395465
P(  | u ) = 1.2965964343598055e-05
P(b | u ) = 0.006625607779578606
P(c | u ) = 0.01300486223662885
P(d | u ) = 0.015520259319286873
P(e | u ) = 0.14279416531604538
P(f | u ) = 0.006081037277147488
P(g | u ) = 0.005277147487844408
P(h | u ) = 0.0005834683954619125
P(i | u ) = 0.11019773095623987
P(j | u ) = 0.0036434359805510535
P(k | u ) = 9.076175040518639e-05
P(l | u ) = 0.03294651539708266
P(m | u ) = 0.013471636952998379
P(n | u ) = 0.09723176661264181
P(o | u ) = 0.004473257698541329
P(p | u ) = 0.014249594813614262
P(q | u ) = 0.0009724473257698541
P(r | u ) = 0.1785542949756888
P(s | u ) = 0.1487066450567261
P(t | u ) = 0.08558833063209076
P(u | u ) = 0.00286547811993517
P(v | u ) = 0.031105348460291733
P(w | u ) = 1.2965964343598055e-05
P(x | u ) = 0.05047649918962723
P(y | u ) = 0.001387358184764992
P(z | u ) = 0.001205834683954619
P(a | v ) = 0.225244177310293
P(  | v ) = 5.008765339343852e-05
P(b | v ) = 5.008765339343852e-05
P(c | v ) = 5.008765339343852e-05
P(d | v ) = 5.008765339343852e-05
P(e | v ) = 0.33313298271975955
P(f | v ) = 5.008765339343852e-05
P(g | v ) = 5.008765339343852e-05
P(h | v ) = 5.008765339343852e-05
P(i | v ) = 0.19058352116203356
P(j | v ) = 5.008765339343852e-05
P(k | v ) = 5.008765339343852e-05
P(l | v ) = 5.008765339343852e-05
P(m | v ) = 5.008765339343852e-05
P(n | v ) = 5.008765339343852e-05
P(o | v ) = 0.18527422990232909
P(p | v ) = 5.008765339343852e-05
P(q | v ) = 5.008765339343852e-05
P(r | v ) = 0.04933633859253694
P(s | v ) = 5.008765339343852e-05
P(t | v ) = 5.008765339343852e-05
P(u | v ) = 0.015376909591785625
P(v | v ) = 5.008765339343852e-05
P(w | v ) = 5.008765339343852e-05
P(x | v ) = 5.008765339343852e-05
P(y | v ) = 5.008765339343852e-05
P(z | v ) = 5.008765339343852e-05
P(a | w ) = 0.45454545454545453
P(  | w ) = 0.008264462809917356
P(b | w ) = 0.008264462809917356
P(c | w ) = 0.024793388429752067
P(d | w ) = 0.008264462809917356
P(e | w ) = 0.05785123966942149
P(f | w ) = 0.008264462809917356
P(g | w ) = 0.008264462809917356
P(h | w ) = 0.05785123966942149
P(i | w ) = 0.15702479338842976
P(j | w ) = 0.008264462809917356
P(k | w ) = 0.024793388429752067
P(l | w ) = 0.008264462809917356
P(m | w ) = 0.008264462809917356
P(n | w ) = 0.05785123966942149
P(o | w ) = 0.008264462809917356
P(p | w ) = 0.008264462809917356
P(q | w ) = 0.008264462809917356
P(r | w ) = 0.008264462809917356
P(s | w ) = 0.008264462809917356
P(t | w ) = 0.008264462809917356
P(u | w ) = 0.008264462809917356
P(v | w ) = 0.008264462809917356
P(w | w ) = 0.008264462809917356
P(x | w ) = 0.008264462809917356
P(y | w ) = 0.008264462809917356
P(z | w ) = 0.008264462809917356
P(a | x ) = 0.13424657534246576
P(  | x ) = 0.000547945205479452
P(b | x ) = 0.000547945205479452
P(c | x ) = 0.12438356164383561
P(d | x ) = 0.000547945205479452
P(e | x ) = 0.07726027397260274
P(f | x ) = 0.0038356164383561643
P(g | x ) = 0.000547945205479452
P(h | x ) = 0.0136986301369863
P(i | x ) = 0.20657534246575343
P(j | x ) = 0.000547945205479452
P(k | x ) = 0.000547945205479452
P(l | x ) = 0.010410958904109589
P(m | x ) = 0.004931506849315068
P(n | x ) = 0.00821917808219178
P(o | x ) = 0.011506849315068493
P(p | x ) = 0.15726027397260273
P(q | x ) = 0.03561643835616438
P(r | x ) = 0.000547945205479452
P(s | x ) = 0.014794520547945205
P(t | x ) = 0.15835616438356165
P(u | x ) = 0.004931506849315068
P(v | x ) = 0.0027397260273972603
P(w | x ) = 0.000547945205479452
P(x | x ) = 0.000547945205479452
P(y | x ) = 0.025753424657534246
P(z | x ) = 0.000547945205479452
P(a | y ) = 0.21775898520084566
P(  | y ) = 0.00042283298097251583
P(b | y ) = 0.0021141649048625794
P(c | y ) = 0.013107822410147992
P(d | y ) = 0.020718816067653276
P(e | y ) = 0.3006342494714588
P(f | y ) = 0.00042283298097251583
P(g | y ) = 0.02241014799154334
P(h | y ) = 0.00042283298097251583
P(i | y ) = 0.0021141649048625794
P(j | y ) = 0.00042283298097251583
P(k | y ) = 0.00042283298097251583
P(l | y ) = 0.03509513742071882
P(m | y ) = 0.01733615221987315
P(n | y ) = 0.011416490486257928
P(o | y ) = 0.08160676532769556
P(p | y ) = 0.06723044397463002
P(q | y ) = 0.00042283298097251583
P(r | y ) = 0.04186046511627907
P(s | y ) = 0.11289640591966173
P(t | y ) = 0.0427061310782241
P(u | y ) = 0.00042283298097251583
P(v | y ) = 0.00042283298097251583
P(w | y ) = 0.00042283298097251583
P(x | y ) = 0.0054968287526427064
P(y | y ) = 0.00042283298097251583
P(z | y ) = 0.0012684989429175475
P(a | z ) = 0.0879848628192999
P(  | z ) = 0.000946073793755913
P(b | z ) = 0.006622516556291391
P(c | z ) = 0.000946073793755913
P(d | z ) = 0.002838221381267739
P(e | z ) = 0.3358561967833491
P(f | z ) = 0.000946073793755913
P(g | z ) = 0.000946073793755913
P(h | z ) = 0.000946073793755913
P(i | z ) = 0.021759697256385997
P(j | z ) = 0.000946073793755913
P(k | z ) = 0.000946073793755913
P(l | z ) = 0.01229895931882687
P(m | z ) = 0.0293282876064333
P(n | z ) = 0.000946073793755913
P(o | z ) = 0.282876064333018
P(p | z ) = 0.000946073793755913
P(q | z ) = 0.000946073793755913
P(r | z ) = 0.000946073793755913
P(s | z ) = 0.000946073793755913
P(t | z ) = 0.000946073793755913
P(u | z ) = 0.01608325449385052
P(v | z ) = 0.18448438978240303
P(w | z ) = 0.000946073793755913
P(x | z ) = 0.000946073793755913
P(y | z ) = 0.000946073793755913
P(z | z ) = 0.004730368968779565
