P(a | a ) = 0.0027463109118858126
P(l | b ) = 0.011241287260863117
P(m | b ) = 8.898116565327005e-05
P(n | b ) = 2.966038855109002e-05
P(o | b ) = 0.06326560877947501
P(p | b ) = 2.966038855109002e-05
P(q | b ) = 2.966038855109002e-05
P(r | b ) = 0.11600177962331307
P(s | b ) = 0.00014830194275545008
P(t | b ) = 0.00014830194275545008
P(u | b ) = 0.031232389144297792
P(v | b ) = 0.00020762271985763013
P(w | b ) = 2.966038855109002e-05
P(x | b ) = 2.966038855109002e-05
P(y | b ) = 2.966038855109002e-05
P(z | b ) = 2.966038855109002e-05
P(a | c ) = 0.1191672603698403
P(  | c ) = 6.304812463353277e-06
P(b | c ) = 6.304812463353277e-06
P(c | c ) = 0.09488112276100348
P(d | c ) = 6.304812463353277e-06
P(e | c ) = 0.10016455560529353
P(f | c ) = 6.304812463353277e-06
P(g | c ) = 6.304812463353277e-06
P(h | c ) = 0.22300752164126877
P(i | c ) = 0.12959542018422662
P(j | c ) = 6.304812463353277e-06
P(k | c ) = 0.002175160299856881
P(l | c ) = 0.0034865612922343626
P(m | c ) = 6.304812463353277e-06
P(n | c ) = 6.304812463353277e-06
P(o | c ) = 0.26780951900585714
P(p | c ) = 6.304812463353277e-06
P(q | c ) = 0.005945438152942141
P(r | c ) = 0.018882913327743066
P(s | c ) = 6.304812463353277e-06
P(t | c ) = 9.457218695029917e-05
P(u | c ) = 0.034695382985833086
P(v | c ) = 6.304812463353277e-06
P(w | c ) = 6.304812463353277e-06
P(x | c ) = 6.304812463353277e-06
P(y | c ) = 6.304812463353277e-06
P(z | c ) = 6.304812463353277e-06
P(a | d ) = 0.14651337749892265
P(  | d ) = 7.304121715884274e-06
P(b | d ) = 8.0345338874727e-05
P(c | d ) = 0.0002994689903512552
P(d | d ) = 0.014411032145439671
P(e | d ) = 0.25946431571335704
P(f | d ) = 0.0001387783126018012
P(g | d ) = 0.00019721128632887538
P(h | d ) = 5.1128852011189915e-05
P(i | d ) = 0.3508534866225011
P(j | d ) = 7.304121715884274e-06
P(k | d ) = 7.304121715884274e-06
P(l | d ) = 0.0003286854772147923
P(m | d ) = 0.0008253657538949229
P(n | d ) = 0.00016799479946533828
P(o | d ) = 0.16638058856612786
P(p | d ) = 9.495358230649555e-05
P(q | d ) = 3.652060857942137e-05
P(r | d ) = 0.025454864179856693
P(s | d ) = 0.00018260304289710683
P(t | d ) = 0.00024103601662418104
P(u | d ) = 0.02953056409732012
P(v | d ) = 6.573709544295847e-05
P(w | d ) = 0.0003871184509418665
P(x | d ) = 7.304121715884274e-06
P(y | d ) = 0.004243694716928763
P(z | d ) = 2.191236514765282e-05
P(a | e ) = 0.01408150623587016
P(  | e ) = 3.9455046892323235e-06
P(b | e ) = 0.015493996914615333
P(c | e ) = 0.026060058472379494
P(d | e ) = 0.03984565185655723
P(e | e ) = 0.0028525998903149697
P(f | e ) = 0.003247150359238202
P(g | e ) = 0.035537160735915535
P(h | e ) = 0.0004931880861540404
P(i | e ) = 0.0309919393339199
P(j | e ) = 3.9455046892323235e-06
P(k | e ) = 0.0001696567016369899
P(l | e ) = 0.1470607962817564
P(m | e ) = 0.030376440602399656
P(n | e ) = 0.15390230141288522
P(o | e ) = 0.005622344182156061
P(p | e ) = 0.008076448098858565
P(q | e ) = 0.001013994705132707
P(r | e ) = 0.2641081383925225
P(s | e ) = 0.10233455512461877
P(t | e ) = 0.05640098953257606
P(u | e ) = 0.0016689484835452728
P(v | e ) = 0.04619791440622127
P(w | e ) = 0.00010652862660927272
P(x | e ) = 4.3400551581555554e-05
P(y | e ) = 0.003783738996973798
P(z | e ) = 0.010522661006182606
P(a | f ) = 0.19003758013410949
P(  | f ) = 2.4562179156534768e-05
P(b | f ) = 2.4562179156534768e-05
P(c | f ) = 2.4562179156534768e-05
P(d | f ) = 2.4562179156534768e-05
P(e | f ) = 0.127502272001572
P(f | f ) = 0.08422371232775772
P(g | f ) = 2.4562179156534768e-05
P(h | f ) = 7.36865374696043e-05
P(i | f ) = 0.222901775845553
P(j | f ) = 2.4562179156534768e-05
P(k | f ) = 2.4562179156534768e-05
P(l | f ) = 0.006803723626360131
P(m | f ) = 2.4562179156534768e-05
P(n | f ) = 2.4562179156534768e-05
P(o | f ) = 0.15609264853977844
P(p | f ) = 7.36865374696043e-05
P(q | f ) = 2.4562179156534768e-05
P(r | f ) = 0.10539631076069068
P(s | f ) = 2.4562179156534768e-05
P(t | f ) = 0.0005158057622872301
P(u | f ) = 0.10598580306044753
P(v | f ) = 2.4562179156534768e-05
P(w | f ) = 2.4562179156534768e-05
P(x | f ) = 2.4562179156534768e-05
P(y | f ) = 2.4562179156534768e-05
P(z | f ) = 2.4562179156534768e-05
P(a | g ) = 0.0822690104442194
P(  | g ) = 1.5114644579132721e-05
P(b | g ) = 1.5114644579132721e-05
P(c | g ) = 1.5114644579132721e-05
P(d | g ) = 1.5114644579132721e-05
P(e | g ) = 0.08024364807061563
P(f | g ) = 1.5114644579132721e-05
P(g | g ) = 0.08278290835990992
P(h | g ) = 0.021508139236105863
P(i | g ) = 0.19880292014933268
P(j | g ) = 1.5114644579132721e-05
P(k | g ) = 1.5114644579132721e-05
P(l | g ) = 0.19052009491996796
P(m | g ) = 0.00016626109037045993
P(n | g ) = 0.09952993455358897
P(o | g ) = 0.07725094844394734
P(p | g ) = 1.5114644579132721e-05
P(q | g ) = 1.5114644579132721e-05
P(r | g ) = 0.07338159943168937
P(s | g ) = 1.5114644579132721e-05
P(t | g ) = 1.5114644579132721e-05
P(u | g ) = 0.0932120131195115
P(v | g ) = 1.5114644579132721e-05
P(w | g ) = 1.5114644579132721e-05
P(x | g ) = 1.5114644579132721e-05
P(y | g ) = 4.534393373739817e-05
P(z | g ) = 7.557322289566361e-05
P(a | h ) = 0.11036122749405504
P(  | h ) = 2.2647491790284225e-05
P(b | h ) = 2.2647491790284225e-05
P(c | h ) = 0.00020382742611255804
P(d | h ) = 0.00011323745895142112
P(e | h ) = 0.5651228626429623
P(f | h ) = 2.2647491790284225e-05
P(g | h ) = 2.2647491790284225e-05
P(h | h ) = 0.00020382742611255804
P(i | h ) = 0.2813950854942815
P(j | h ) = 2.2647491790284225e-05
P(k | h ) = 2.2647491790284225e-05
P(l | h ) = 6.794247537085267e-05
P(m | h ) = 0.0001585324425319896
P(n | h ) = 0.00047559732759596876
P(o | h ) = 0.028875552032612387
P(p | h ) = 2.2647491790284225e-05
P(q | h ) = 2.2647491790284225e-05
P(r | h ) = 0.00948929906012909
P(s | h ) = 0.00020382742611255804
P(t | h ) = 0.0006114822783376741
P(u | h ) = 0.0023779866379798438
P(v | h ) = 6.794247537085267e-05
P(w | h ) = 2.2647491790284225e-05
P(x | h ) = 2.2647491790284225e-05
P(y | h ) = 2.2647491790284225e-05
P(z | h ) = 2.2647491790284225e-05
P(a | i ) = 0.12895206443437962
P(  | i ) = 4.384484187357779e-06
P(b | i ) = 0.007922762926555506
P(c | i ) = 0.05091701486778588
P(d | i ) = 0.029003362899371703
P(e | i ) = 0.07338311184380714
P(f | i ) = 0.006572341796849309
P(g | i ) = 0.029827645926594967
P(h | i ) = 0.0002060707568058156
P(i | i ) = 0.001521416013013149
P(j | i ) = 1.3153452562073334e-05
P(k | i ) = 0.0012758848985211135
P(l | i ) = 0.08471261898393963
P(m | i ) = 0.05006642493543847
P(n | i ) = 0.1559517180601288
P(o | i ) = 0.12677736027745015
P(p | i ) = 0.011325122655945142
P(q | i ) = 0.0016091056967603046
P(r | i ) = 0.03729880698185262
P(s | i ) = 0.07664516807920133
P(t | i ) = 0.05140807709676995
P(u | i ) = 0.041288687592348196
P(v | i ) = 0.026495437944203053
P(w | i ) = 4.384484187357779e-06
P(x | i ) = 1.3153452562073334e-05
P(y | i ) = 0.00014468797818280668
P(z | i ) = 0.006660031480596465
P(a | j ) = 0.02040816326530612
P(  | j ) = 0.0029154518950437317
P(b | j ) = 0.0029154518950437317
P(c | j ) = 0.0029154518950437317
P(d | j ) = 0.0029154518950437317
P(e | j ) = 0.446064139941691
P(f | j ) = 0.0029154518950437317
P(g | j ) = 0.0029154518950437317
P(h | j ) = 0.0029154518950437317
P(i | j ) = 0.0029154518950437317
P(j | j ) = 0.0029154518950437317
P(k | j ) = 0.0029154518950437317
P(l | j ) = 0.0029154518950437317
P(m | j ) = 0.0029154518950437317
P(n | j ) = 0.0029154518950437317
P(o | j ) = 0.4577259475218659
P(p | j ) = 0.008746355685131196
P(q | j ) = 0.0029154518950437317
P(r | j ) = 0.0029154518950437317
P(s | j ) = 0.0029154518950437317
P(t | j ) = 0.0029154518950437317
P(u | j ) = 0.0029154518950437317
P(v | j ) = 0.0029154518950437317
P(w | j ) = 0.0029154518950437317
P(x | j ) = 0.0029154518950437317
P(y | j ) = 0.0029154518950437317
P(z | j ) = 0.0029154518950437317
P(a | k ) = 0.04487534626038781
P(  | k ) = 0.000554016620498615
P(b | k ) = 0.000554016620498615
P(c | k ) = 0.014958448753462604
P(d | k ) = 0.003878116343490305
P(e | k ) = 0.0781163434903047
P(f | k ) = 0.0016620498614958448
P(g | k ) = 0.000554016620498615
P(h | k ) = 0.4903047091412742
P(i | k ) = 0.18670360110803325
P(j | k ) = 0.000554016620498615
P(k | k ) = 0.033795013850415515
P(l | k ) = 0.002770083102493075
P(m | k ) = 0.0016620498614958448
P(n | k ) = 0.006094182825484765
P(o | k ) = 0.08808864265927978
P(p | k ) = 0.004986149584487534
P(q | k ) = 0.000554016620498615
P(r | k ) = 0.003878116343490305
P(s | k ) = 0.011634349030470914
P(t | k ) = 0.0016620498614958448
P(u | k ) = 0.000554016620498615
P(v | k ) = 0.000554016620498615
P(w | k ) = 0.019390581717451522
P(x | k ) = 0.000554016620498615
P(y | k ) = 0.000554016620498615
P(z | k ) = 0.000554016620498615
P(a | l ) = 0.23456520335540137
P(  | l ) = 4.9665502838383485e-06
P(b | l ) = 0.0034418193466999756
P(c | l ) = 0.016325050782976653
P(d | l ) = 0.004385463900629262
P(e | l ) = 0.15144501780508277
P(f | l ) = 0.0016737274456535235
P(g | l ) = 0.0028656995137747274
P(h | l ) = 0.0015743964399767565
P(i | l ) = 0.14403492478159596
P(j | l ) = 4.9665502838383485e-06
P(k | l ) = 7.449825425757523e-05
P(l | l ) = 0.1759797762072442
P(m | l ) = 0.007722985691368632
P(n | l ) = 0.0006804173888858538
P(o | l ) = 0.11917237406070118
P(p | l ) = 0.0056668338738595555
P(q | l ) = 0.0011373400149989818
P(r | l ) = 0.0012863365235141323
P(s | l ) = 0.007772651194207016
P(t | l ) = 0.05850099579333191
P(u | l ) = 0.04227030946574819
P(v | l ) = 0.004057671581895931
P(w | l ) = 4.9665502838383485e-06
P(x | l ) = 4.9665502838383485e-06
P(y | l ) = 0.01130883499629992
P(z | l ) = 0.004037805380760578
P(a | m ) = 0.24372708869070417
P(  | m ) = 1.0942714887563605e-05
P(b | m ) = 0.04058652951797341
P(c | m ) = 3.2828144662690814e-05
P(d | m ) = 1.0942714887563605e-05
P(e | m ) = 0.24164797286206707
P(f | m ) = 5.471357443781802e-05
P(g | m ) = 1.0942714887563605e-05
P(h | m ) = 0.0007331618974667615
P(i | m ) = 0.17649504842151337
P(j | m ) = 1.0942714887563605e-05
P(k | m ) = 1.0942714887563605e-05
P(l | m ) = 0.00016414072331345406
P(m | m ) = 0.03697543360507742
P(n | m ) = 3.2828144662690814e-05
P(o | m ) = 0.17117688898615746
P(p | m ) = 0.06562346118071893
P(q | m ) = 1.0942714887563605e-05
P(r | m ) = 5.471357443781802e-05
P(s | m ) = 3.2828144662690814e-05
P(t | m ) = 1.0942714887563605e-05
P(u | m ) = 0.020079881818679216
P(v | m ) = 1.0942714887563605e-05
P(w | m ) = 0.0011708704929693056
P(x | m ) = 1.0942714887563605e-05
P(y | m ) = 0.001302183071620069
P(z | m ) = 1.0942714887563605e-05
P(a | n ) = 0.09789543805975673
P(  | n ) = 4.934494584392194e-06
P(b | n ) = 0.0003898250721669833
P(c | n ) = 0.048392588389134246
P(d | n ) = 0.10611630603735413
P(e | n ) = 0.1214231082381387
P(f | n ) = 0.010781870666896943
P(g | n ) = 0.02942439120673065
P(h | n ) = 0.00035034911549184576
P(i | n ) = 0.06962078409118946
P(j | n ) = 0.0007549776714120056
P(k | n ) = 2.4672472921960968e-05
P(l | n ) = 0.0018701734474846413
P(m | n ) = 0.0006957637363992994
P(n | n ) = 0.03815844662110483
P(o | n ) = 0.21411265451136166
P(p | n ) = 0.0010017024006316153
P(q | n ) = 0.004327551750511954
P(r | n ) = 0.0006168118230490242
P(s | n ) = 0.02445042066566332
P(t | n ) = 0.17506106437048186
P(u | n ) = 0.018361254348523353
P(v | n ) = 0.009913399620043917
P(w | n ) = 0.00028126619131035505
P(x | n ) = 4.934494584392194e-06
P(y | n ) = 0.002373491895092645
P(z | n ) = 0.023591818607979077
P(a | o ) = 0.004791050141072545
P(  | o ) = 4.923998089488741e-06
P(b | o ) = 0.013939838591342627
P(c | o ) = 0.04513829048634329
P(d | o ) = 0.017928277043828506
P(e | o ) = 0.0026934269549503415
P(f | o ) = 0.010946047752933471
P(g | o ) = 0.024191602613658186
P(h | o ) = 0.0007533717076917774
P(i | o ) = 0.0281209530890702
P(j | o ) = 4.923998089488741e-06
P(k | o ) = 8.37079675213086e-05
P(l | o ) = 0.10986916937076228
P(m | o ) = 0.07134380831860238
P(n | o ) = 0.24677601225090726
P(o | o ) = 0.0029396268594247786
P(p | o ) = 0.025412754139851394
P(q | o ) = 0.0008616996656605297
P(r | o ) = 0.2096195226676252
P(s | o ) = 0.10087794885935585
P(t | o ) = 0.040381708331897165
P(u | o ) = 0.0015707553905469085
P(v | o ) = 0.0355561902041982
P(w | o ) = 0.0017184753332315707
P(x | o ) = 4.923998089488741e-06
P(y | o ) = 0.0015904513829048635
P(z | o ) = 0.0028805388823509134
P(a | p ) = 0.16497729969841807
P(  | p ) = 1.0887434811484067e-05
P(b | p ) = 1.0887434811484067e-05
P(c | p ) = 1.0887434811484067e-05
P(d | p ) = 1.0887434811484067e-05
P(e | p ) = 0.23557142701608075
P(f | p ) = 1.0887434811484067e-05
P(g | p ) = 1.0887434811484067e-05
P(h | p ) = 3.2662304434452196e-05
P(i | p ) = 0.15528748271619724
P(j | p ) = 1.0887434811484067e-05
P(k | p ) = 1.0887434811484067e-05
P(l | p ) = 0.011442693986869753
P(m | p ) = 1.0887434811484067e-05
P(n | p ) = 9.79869133033566e-05
P(o | p ) = 0.16976777101547105
P(p | p ) = 0.058955459504186215
P(q | p ) = 1.0887434811484067e-05
P(r | p ) = 0.15317532036276932
P(s | p ) = 7.621204368038847e-05
P(t | p ) = 0.00390858909732278
P(u | p ) = 0.04654378381909438
P(v | p ) = 1.0887434811484067e-05
P(w | p ) = 1.0887434811484067e-05
P(x | p ) = 1.0887434811484067e-05
P(y | p ) = 1.0887434811484067e-05
P(z | p ) = 1.0887434811484067e-05
P(a | q ) = 0.0002735080137848039
P(  | q ) = 5.470160275696078e-05
P(b | q ) = 5.470160275696078e-05
P(c | q ) = 5.470160275696078e-05
P(d | q ) = 5.470160275696078e-05
P(e | q ) = 5.470160275696078e-05
P(f | q ) = 5.470160275696078e-05
P(g | q ) = 5.470160275696078e-05
P(h | q ) = 5.470160275696078e-05
P(i | q ) = 0.0002735080137848039
P(j | q ) = 5.470160275696078e-05
P(k | q ) = 5.470160275696078e-05
P(l | q ) = 5.470160275696078e-05
P(m | q ) = 5.470160275696078e-05
P(n | q ) = 5.470160275696078e-05
P(o | q ) = 0.0008205240413544116
P(p | q ) = 5.470160275696078e-05
P(q | q ) = 0.0002735080137848039
P(r | q ) = 5.470160275696078e-05
P(s | q ) = 5.470160275696078e-05
P(t | q ) = 5.470160275696078e-05
P(u | q ) = 0.997155516656638
P(v | q ) = 5.470160275696078e-05
P(w | q ) = 5.470160275696078e-05
P(x | q ) = 5.470160275696078e-05
P(y | q ) = 5.470160275696078e-05
P(z | q ) = 5.470160275696078e-05
P(a | r ) = 0.20005313389338603
P(  | r ) = 4.0252949534877165e-06
P(b | r ) = 0.004351343844720222
P(c | r ) = 0.02083895197420591
P(d | r ) = 0.042261571716667536
P(e | r ) = 0.2148823205020348
P(f | r ) = 0.002386999907418216
P(g | r ) = 0.010292679196068091
P(h | r ) = 0.00011673355365114379
P(i | r ) = 0.14585656263962743
P(j | r ) = 4.0252949534877165e-06
P(k | r ) = 0.005285212273929372
P(l | r ) = 0.016000547440113675
P(m | r ) = 0.018472078541555133
P(n | r ) = 0.023205825406856687
P(o | r ) = 0.13775766919321014
P(p | r ) = 0.004351343844720222
P(q | r ) = 0.0003099477114185542
P(r | r ) = 0.03700453650741258
P(s | r ) = 0.02968655028197191
P(t | r ) = 0.04908847195778271
P(u | r ) = 0.010960878158347053
P(v | r ) = 0.009527873154905426
P(w | r ) = 0.00029384653160460333
P(x | r ) = 4.0252949534877165e-06
P(y | r ) = 0.013810786985416356
P(z | r ) = 0.0031920588981157595
P(a | s ) = 0.09829245702999073
P(  | s ) = 5.1170002097970086e-06
P(b | s ) = 0.0027171271114022114
P(c | s ) = 0.06760068977162828
P(d | s ) = 0.00044517901825233977
P(e | s ) = 0.1614771756205642
P(f | s ) = 0.003996377163851463
P(g | s ) = 0.004385269179796036
P(h | s ) = 0.0021849590895833227
P(i | s ) = 0.1360149825766143
P(j | s ) = 5.1170002097970086e-06
P(k | s ) = 1.5351000629391026e-05
P(l | s ) = 0.00042471101741315174
P(m | s ) = 0.003065083125668408
P(n | s ) = 0.0005065830207699038
P(o | s ) = 0.11110542555532245
P(p | s ) = 0.048166322974819244
P(q | s ) = 0.0007624330312597543
P(r | s ) = 0.00013815900566451923
P(s | s ) = 0.1111872975586792
P(t | s ) = 0.15891867551566569
P(u | s ) = 0.08553065850675699
P(v | s ) = 0.002962743121472468
P(w | s ) = 5.6287002307767094e-05
P(x | s ) = 5.1170002097970086e-06
P(y | s ) = 2.5585001048985043e-05
P(z | s ) = 5.1170002097970086e-06
P(a | t ) = 0.1924026678359604
P(  | t ) = 4.6156331494772795e-06
P(b | t ) = 1.384689944843184e-05
P(c | t ) = 2.30781657473864e-05
P(d | t ) = 4.154069834529552e-05
P(e | t ) = 0.1850453485956936
P(f | t ) = 2.30781657473864e-05
P(g | t ) = 1.384689944843184e-05
P(h | t ) = 0.004066372804689483
P(i | t ) = 0.11389074796335187
P(j | t ) = 4.6156331494772795e-06
P(k | t ) = 4.6156331494772795e-06
P(l | t ) = 0.00011539082873693199
P(m | t ) = 0.00029078488841706863
P(n | t ) = 3.2309432046340956e-05
P(o | t ) = 0.22401052364358082
P(p | t ) = 3.2309432046340956e-05
P(q | t ) = 1.384689944843184e-05
P(r | t ) = 0.1158570076850292
P(s | t ) = 5.077196464425008e-05
P(t | t ) = 0.11131522466594355
P(u | t ) = 0.0521889640211396
P(v | t ) = 1.384689944843184e-05
P(w | t ) = 4.6156331494772795e-06
P(x | t ) = 4.6156331494772795e-06
P(y | t ) = 0.0005307978121898871
P(z | t ) = 4.6156331494772795e-06
P(a | u ) = 0.14142610117805396
P(  | u ) = 8.518105232672044e-06
P(b | u ) = 0.008032573234409738
P(c | u ) = 0.02278593149739772
P(d | u ) = 0.01961719635084372
P(e | u ) = 0.11931309999403733
P(f | u ) = 0.002836529042479791
P(g | u ) = 0.015732940364745266
P(h | u ) = 4.259052616336022e-05
P(i | u ) = 0.07266795573992521
P(j | u ) = 8.518105232672044e-06
P(k | u ) = 8.518105232672044e-06
P(l | u ) = 0.04530780173258261
P(m | u ) = 0.017640995936863805
P(n | u ) = 0.1950049830915611
P(o | u ) = 0.1280697121732242
P(p | u ) = 0.016806221624061944
P(q | u ) = 0.00012777157849008067
P(r | u ) = 0.07605816162252868
P(s | u ) = 0.03615935671269283
P(t | u ) = 0.07551300288763767
P(u | u ) = 0.0010306907331533175
P(v | u ) = 0.0010988355750146937
P(w | u ) = 0.0026491307273610056
P(x | u ) = 8.518105232672044e-06
P(y | u ) = 7.66629470940484e-05
P(z | u ) = 0.0019676823087472423
P(a | v ) = 0.34500396975179287
P(  | v ) = 1.301557964883966e-05
P(b | v ) = 1.301557964883966e-05
P(c | v ) = 1.301557964883966e-05
P(d | v ) = 1.301557964883966e-05
P(e | v ) = 0.3131678619307311
P(f | v ) = 1.301557964883966e-05
P(g | v ) = 1.301557964883966e-05
P(h | v ) = 0.00016920253543491559
P(i | v ) = 0.1366505707331676
P(j | v ) = 1.301557964883966e-05
P(k | v ) = 1.301557964883966e-05
P(l | v ) = 1.301557964883966e-05
P(m | v ) = 1.301557964883966e-05
P(n | v ) = 1.301557964883966e-05
P(o | v ) = 0.1404250888313311
P(p | v ) = 1.301557964883966e-05
P(q | v ) = 1.301557964883966e-05
P(r | v ) = 0.030469471957933647
P(s | v ) = 1.301557964883966e-05
P(t | v ) = 1.301557964883966e-05
P(u | v ) = 0.015683773476851792
P(v | v ) = 0.01815673361013133
P(w | v ) = 1.301557964883966e-05
P(x | v ) = 1.301557964883966e-05
P(y | v ) = 3.9046738946518984e-05
P(z | v ) = 1.301557964883966e-05
P(a | w ) = 0.041280539174389216
P(  | w ) = 0.0008424599831508003
P(b | w ) = 0.0008424599831508003
P(c | w ) = 0.0008424599831508003
P(d | w ) = 0.0008424599831508003
P(e | w ) = 0.18955349620893008
P(f | w ) = 0.0008424599831508003
P(g | w ) = 0.0008424599831508003
P(h | w ) = 0.0008424599831508003
P(i | w ) = 0.5720303285593934
P(j | w ) = 0.0008424599831508003
P(k | w ) = 0.0008424599831508003
P(l | w ) = 0.009267059814658803
P(m | w ) = 0.002527379949452401
P(n | w ) = 0.009267059814658803
P(o | w ) = 0.06992417860151642
P(p | w ) = 0.0008424599831508003
P(q | w ) = 0.0008424599831508003
P(r | w ) = 0.002527379949452401
P(s | w ) = 0.0008424599831508003
P(t | w ) = 0.0008424599831508003
P(u | w ) = 0.0008424599831508003
P(v | w ) = 0.0008424599831508003
P(w | w ) = 0.0008424599831508003
P(x | w ) = 0.0008424599831508003
P(y | w ) = 0.08845829823083404
P(z | w ) = 0.0008424599831508003
P(a | x ) = 0.017543859649122806
P(  | x ) = 0.017543859649122806
P(b | x ) = 0.017543859649122806
P(c | x ) = 0.05263157894736842
P(d | x ) = 0.017543859649122806
P(e | x ) = 0.12280701754385964
P(f | x ) = 0.017543859649122806
P(g | x ) = 0.017543859649122806
P(h | x ) = 0.017543859649122806
P(i | x ) = 0.12280701754385964
P(j | x ) = 0.017543859649122806
P(k | x ) = 0.017543859649122806
P(l | x ) = 0.017543859649122806
P(m | x ) = 0.017543859649122806
P(n | x ) = 0.017543859649122806
P(o | x ) = 0.05263157894736842
P(p | x ) = 0.017543859649122806
P(q | x ) = 0.017543859649122806
P(r | x ) = 0.017543859649122806
P(s | x ) = 0.05263157894736842
P(t | x ) = 0.22807017543859648
P(u | x ) = 0.017543859649122806
P(v | x ) = 0.017543859649122806
P(w | x ) = 0.017543859649122806
P(x | x ) = 0.017543859649122806
P(y | x ) = 0.017543859649122806
P(z | x ) = 0.017543859649122806
P(a | y ) = 0.1240779478145987
P(  | y ) = 0.0001100957833314984
P(b | y ) = 0.0003302873499944952
P(c | y ) = 0.04282725971595288
P(d | y ) = 0.0051745018165804246
P(e | y ) = 0.02895519101618408
P(f | y ) = 0.0029725861499504567
P(g | y ) = 0.0014312451833094792
P(h | y ) = 0.0001100957833314984
P(i | y ) = 0.0003302873499944952
P(j | y ) = 0.017064846416382253
P(k | y ) = 0.007156225916547397
P(l | y ) = 0.011339865683144336
P(m | y ) = 0.021468677749642187
P(n | y ) = 0.2669822745788836
P(o | y ) = 0.005614884949906419
P(p | y ) = 0.016844654849719257
P(q | y ) = 0.0001100957833314984
P(r | y ) = 0.21215457447979744
P(s | y ) = 0.18991522624683474
P(t | y ) = 0.003192777716613454
P(u | y ) = 0.0005504789166574921
P(v | y ) = 0.0009908620499834856
P(w | y ) = 0.038863811516018934
P(x | y ) = 0.0003302873499944952
P(y | y ) = 0.0009908620499834856
P(z | y ) = 0.0001100957833314984
P(a | z ) = 0.3054247001116993
P(  | z ) = 4.8564906998203096e-05
P(b | z ) = 4.8564906998203096e-05
P(c | z ) = 4.8564906998203096e-05
P(d | z ) = 4.8564906998203096e-05
P(e | z ) = 0.0328784420377835
P(f | z ) = 4.8564906998203096e-05
P(g | z ) = 4.8564906998203096e-05
P(h | z ) = 4.8564906998203096e-05
P(i | z ) = 0.2493807974357729
P(j | z ) = 4.8564906998203096e-05
P(k | z ) = 4.8564906998203096e-05
P(l | z ) = 4.8564906998203096e-05
P(m | z ) = 4.8564906998203096e-05
P(n | z ) = 0.0001456947209946093
P(o | z ) = 0.14049827594580155
P(p | z ) = 4.8564906998203096e-05
P(q | z ) = 4.8564906998203096e-05
P(r | z ) = 0.0001456947209946093
P(s | z ) = 4.8564906998203096e-05
P(t | z ) = 4.8564906998203096e-05
P(u | z ) = 0.010052935748628042
P(v | z ) = 4.8564906998203096e-05
P(w | z ) = 4.8564906998203096e-05
P(x | z ) = 4.8564906998203096e-05
P(y | z ) = 4.8564906998203096e-05
P(z | z ) = 0.2605507260453596
