P(a | a ) = 0.00040129258453545105
P(g | l ) = 0.0010851499292592135
P(h | l ) = 0.001579648631200121
P(i | l ) = 0.1236658837103886
P(j | l ) = 6.868037526957048e-05
P(k | l ) = 0.0060026647985604595
P(l | l ) = 0.16531366327385613
P(m | l ) = 0.011387206219694784
P(n | l ) = 0.0017994258320627463
P(o | l ) = 0.09100149723218087
P(p | l ) = 0.00432686364198294
P(q | l ) = 6.868037526957048e-05
P(r | l ) = 0.001909314432494059
P(s | l ) = 0.02633205587835332
P(t | l ) = 0.0162772489388882
P(u | l ) = 0.020892570157003337
P(v | l ) = 0.006057609098776116
P(w | l ) = 0.004244447191659455
P(x | l ) = 1.3736075053914095e-05
P(y | l ) = 0.10253980027746872
P(z | l ) = 6.868037526957048e-05
P(a | m ) = 0.2036905606813343
P(  | m ) = 2.6286044738848147e-05
P(b | m ) = 0.02552374944142155
P(c | m ) = 0.0006571511184712037
P(d | m ) = 0.0002891464921273296
P(e | m ) = 0.3007912099466393
P(f | m ) = 0.0029703230554898406
P(g | m ) = 0.0003942906710827222
P(h | m ) = 0.0028126067870567514
P(i | m ) = 0.08698052204084851
P(j | m ) = 2.6286044738848147e-05
P(k | m ) = 2.6286044738848147e-05
P(l | m ) = 0.003811476487132981
P(m | m ) = 0.030412953762847306
P(n | m ) = 0.006545225139973188
P(o | m ) = 0.14580869016639067
P(p | m ) = 0.058749309991325604
P(q | m ) = 7.885813421654444e-05
P(r | m ) = 0.0015508766395920406
P(s | m ) = 0.03672160450017086
P(t | m ) = 0.005125778724075388
P(u | m ) = 0.044291985384959126
P(v | m ) = 0.0002365744026496333
P(w | m ) = 0.0015508766395920406
P(x | m ) = 2.6286044738848147e-05
P(y | m ) = 0.04087479956890887
P(z | m ) = 2.6286044738848147e-05
P(a | n ) = 0.031872630170879136
P(  | n ) = 1.005763022116729e-05
P(b | n ) = 0.002061814195339294
P(c | n ) = 0.04828668269182415
P(d | n ) = 0.2212779224959015
P(e | n ) = 0.1071841652669798
P(f | n ) = 0.005964174721152202
P(g | n ) = 0.20053908897985456
P(h | n ) = 0.004978526959477808
P(i | n ) = 0.038933086586138574
P(j | n ) = 0.0007945527874722158
P(k | n ) = 0.013105092178180977
P(l | n ) = 0.015539038691703462
P(m | n ) = 0.002504349925070655
P(n | n ) = 0.011596447645005883
P(o | n ) = 0.08006879419071278
P(p | n ) = 0.0018606615909159483
P(q | n ) = 0.0014382411216269223
P(r | n ) = 0.0022830820602049743
P(s | n ) = 0.05617186478521931
P(t | n ) = 0.1207418508051133
P(u | n ) = 0.007070514045480604
P(v | n ) = 0.005763022116728856
P(w | n ) = 0.004194031802226759
P(x | n ) = 0.00059340018304887
P(y | n ) = 0.015016041920202762
P(z | n ) = 0.00015086445331750933
P(a | o ) = 0.02200050953738936
P(  | o ) = 8.218344989685977e-06
P(b | o ) = 0.009985289162468462
P(c | o ) = 0.012204242309683675
P(d | o ) = 0.024416702964357037
P(e | o ) = 0.00651714757682098
P(f | o ) = 0.11997961850442558
P(g | o ) = 0.005892553357604846
P(h | o ) = 0.002095677972369924
P(i | o ) = 0.013289063848322225
P(j | o ) = 0.0006328125642058203
P(k | o ) = 0.014834112706383188
P(l | o ) = 0.03889742683618373
P(m | o ) = 0.06600152861216808
P(n | o ) = 0.15094634242556235
P(o | o ) = 0.04603095028723116
P(p | o ) = 0.01720099606341275
P(q | o ) = 0.00023833200470089333
P(r | o ) = 0.12910198144297702
P(s | o ) = 0.03616893629960798
P(t | o ) = 0.05089621052112526
P(u | o ) = 0.13957215295983694
P(v | o ) = 0.017168122683454006
P(w | o ) = 0.06805611485958958
P(x | o ) = 0.000731432704082052
P(y | o ) = 0.00659933102671784
P(z | o ) = 0.0005341924243295885
P(a | p ) = 0.11778118087459588
P(  | p ) = 3.4030968181044753e-05
P(b | p ) = 0.0013952696954228347
P(c | p ) = 0.00037434064999149224
P(d | p ) = 0.0005104645227156713
P(e | p ) = 0.21381657308150417
P(f | p ) = 0.0010549600136123872
P(g | p ) = 0.0005785264590777607
P(h | p ) = 0.022358346094946403
P(i | p ) = 0.07789688616641144
P(j | p ) = 0.00010209290454313425
P(k | p ) = 0.0010549600136123872
P(l | p ) = 0.08436277012080994
P(m | p ) = 0.004662242640803131
P(n | p ) = 0.0007146503318019398
P(o | p ) = 0.16317849242810958
P(p | p ) = 0.055368385230559806
P(q | p ) = 0.00010209290454313425
P(r | p ) = 0.1170324995746129
P(s | p ) = 0.03842096307639952
P(t | p ) = 0.0541432703760422
P(u | p ) = 0.03842096307639952
P(v | p ) = 3.4030968181044753e-05
P(w | p ) = 0.003028756168112983
P(x | p ) = 3.4030968181044753e-05
P(y | p ) = 0.0035051897226476094
P(z | p ) = 3.4030968181044753e-05
P(a | q ) = 0.00039984006397441024
P(  | q ) = 0.00039984006397441024
P(b | q ) = 0.00039984006397441024
P(c | q ) = 0.00039984006397441024
P(d | q ) = 0.00039984006397441024
P(e | q ) = 0.00039984006397441024
P(f | q ) = 0.00039984006397441024
P(g | q ) = 0.00039984006397441024
P(h | q ) = 0.00039984006397441024
P(i | q ) = 0.00039984006397441024
P(j | q ) = 0.00039984006397441024
P(k | q ) = 0.00039984006397441024
P(l | q ) = 0.00039984006397441024
P(m | q ) = 0.00039984006397441024
P(n | q ) = 0.00039984006397441024
P(o | q ) = 0.00039984006397441024
P(p | q ) = 0.00039984006397441024
P(q | q ) = 0.00039984006397441024
P(r | q ) = 0.00039984006397441024
P(s | q ) = 0.00039984006397441024
P(t | q ) = 0.00039984006397441024
P(u | q ) = 0.9896041583366654
P(v | q ) = 0.00039984006397441024
P(w | q ) = 0.00039984006397441024
P(x | q ) = 0.00039984006397441024
P(y | q ) = 0.00039984006397441024
P(z | q ) = 0.00039984006397441024
P(a | r ) = 0.08390343257652909
P(  | r ) = 1.1981069909542921e-05
P(b | r ) = 0.012304558797100582
P(c | r ) = 0.015443599113400827
P(d | r ) = 0.044317977595399266
P(e | r ) = 0.2817348589229018
P(f | r ) = 0.0049961061522793985
P(g | r ) = 0.01029173905229737
P(h | r ) = 0.0061462888635955195
P(i | r ) = 0.10043730905169831
P(j | r ) = 0.00017971604864314383
P(k | r ) = 0.015659258371772598
P(l | r ) = 0.015371712693943568
P(m | r ) = 0.026418259150542144
P(n | r ) = 0.029485413047385133
P(o | r ) = 0.11522194932007428
P(p | r ) = 0.01628227400706883
P(q | r ) = 0.0003234888875576589
P(r | r ) = 0.020355837776313425
P(s | r ) = 0.0662672976696819
P(t | r ) = 0.060756005511292156
P(u | r ) = 0.021577906907086802
P(v | r ) = 0.008207032888036902
P(w | r ) = 0.00487629545318397
P(x | r ) = 8.386748936680046e-05
P(y | r ) = 0.03930989037321033
P(z | r ) = 3.594320972862877e-05
P(a | s ) = 0.06192247532170507
P(  | s ) = 1.3144231653938668e-05
P(b | s ) = 0.0037986829479882754
P(c | s ) = 0.02419853047490109
P(d | s ) = 0.002142509759592003
P(e | s ) = 0.17654017534405025
P(f | s ) = 0.0038775483379119074
P(g | s ) = 0.0012749904704320509
P(h | s ) = 0.09270626585522944
P(i | s ) = 0.0761445339712667
P(j | s ) = 0.0005389134978114854
P(k | s ) = 0.012999645105745344
P(l | s ) = 0.021438241827573968
P(m | s ) = 0.01531302987683855
P(n | s ) = 0.008530606343406195
P(o | s ) = 0.09026143876759685
P(p | s ) = 0.04357312793280669
P(q | s ) = 0.0027208559523653046
P(r | s ) = 0.0018533366632053523
P(s | s ) = 0.06852087961198228
P(t | s ) = 0.21991613980204788
P(u | s ) = 0.04988235912669725
P(v | s ) = 0.0007755096675823815
P(w | s ) = 0.016075395312766992
P(x | s ) = 3.9432694961816005e-05
P(y | s ) = 0.004929086870227001
P(z | s ) = 1.3144231653938668e-05
P(a | t ) = 0.05419480152023798
P(  | t ) = 7.647072318362915e-06
P(b | t ) = 0.0014605908128073168
P(c | t ) = 0.007257071630126406
P(d | t ) = 0.0008029425934281061
P(e | t ) = 0.10772430774877838
P(f | t ) = 0.0013994142342604135
P(g | t ) = 0.0005276479899670411
P(h | t ) = 0.4636037593007517
P(i | t ) = 0.07828307932308116
P(j | t ) = 9.94119401387179e-05
P(k | t ) = 0.00019117680795907287
P(l | t ) = 0.01891120984331149
P(m | t ) = 0.0021182390321865274
P(n | t ) = 0.0022252980446436084
P(o | t ) = 0.11235843357370631
P(p | t ) = 0.0010629430522524452
P(q | t ) = 2.2941216955088744e-05
P(r | t ) = 0.03272182245027491
P(s | t ) = 0.036575946898729825
P(t | t ) = 0.025411221313919964
P(u | t ) = 0.02668063531876821
P(v | t ) = 0.0003135299650528795
P(w | t ) = 0.01112649022321804
P(x | t ) = 7.647072318362915e-06
P(y | t ) = 0.01479708493603224
P(z | t ) = 0.00011470608477544373
P(a | u ) = 0.020156314273961334
P(  | u ) = 1.9588254882372528e-05
P(b | u ) = 0.02975455916632387
P(c | u ) = 0.054474936827878004
P(d | u ) = 0.022271845801257566
P(e | u ) = 0.048676813382695736
P(f | u ) = 0.006131123778182601
P(g | u ) = 0.052907876437288205
P(h | u ) = 0.00017629429394135277
P(i | u ) = 0.02121408003760945
P(j | u ) = 1.9588254882372528e-05
P(k | u ) = 0.002252649311472841
P(l | u ) = 0.10078157136980666
P(m | u ) = 0.03190926720338485
P(n | u ) = 0.1263638322461852
P(o | u ) = 0.01145912910618793
P(p | u ) = 0.058823529411764705
P(q | u ) = 1.9588254882372528e-05
P(r | u ) = 0.12534524299230182
P(s | u ) = 0.12189771013300425
P(t | u ) = 0.16209280915163268
P(u | u ) = 0.0001371177841766077
P(v | u ) = 0.001116530528295234
P(w | u ) = 0.0005288828818240583
P(x | u ) = 0.00041135335252982314
P(y | u ) = 0.00037217684276507804
P(z | u ) = 0.0006855889208830385
P(a | v ) = 0.08708178985123773
P(  | v ) = 5.8799317927912035e-05
P(b | v ) = 5.8799317927912035e-05
P(c | v ) = 5.8799317927912035e-05
P(d | v ) = 5.8799317927912035e-05
P(e | v ) = 0.6766037513964838
P(f | v ) = 5.8799317927912035e-05
P(g | v ) = 5.8799317927912035e-05
P(h | v ) = 5.8799317927912035e-05
P(i | v ) = 0.16916563767860293
P(j | v ) = 5.8799317927912035e-05
P(k | v ) = 5.8799317927912035e-05
P(l | v ) = 0.0001763979537837361
P(m | v ) = 5.8799317927912035e-05
P(n | v ) = 0.0006467924972070324
P(o | v ) = 0.05685894043629094
P(p | v ) = 5.8799317927912035e-05
P(q | v ) = 5.8799317927912035e-05
P(r | v ) = 0.00041159522549538425
P(s | v ) = 0.0001763979537837361
P(t | v ) = 5.8799317927912035e-05
P(u | v ) = 0.0021755747633327455
P(v | v ) = 5.8799317927912035e-05
P(w | v ) = 5.8799317927912035e-05
P(x | v ) = 5.8799317927912035e-05
P(y | v ) = 0.005703533839007468
P(z | v ) = 5.8799317927912035e-05
P(a | w ) = 0.20909746135981422
P(  | w ) = 2.6694428872694267e-05
P(b | w ) = 0.001094471583780465
P(c | w ) = 0.0009343050105442994
P(d | w ) = 0.003550359040068338
P(e | w ) = 0.13846400256266517
P(f | w ) = 0.002055471023197459
P(g | w ) = 0.000293638717599637
P(h | w ) = 0.26286004110942046
P(i | w ) = 0.18352419849977308
P(j | w ) = 8.008328661808281e-05
P(k | w ) = 0.0016283601612343504
P(l | w ) = 0.011345132270895064
P(m | w ) = 0.0008809161527989108
P(n | w ) = 0.05453671818691439
P(o | w ) = 0.09057419716505165
P(p | w ) = 0.000400416433090414
P(q | w ) = 8.008328661808281e-05
P(r | w ) = 0.010223966258241905
P(s | w ) = 0.02170257067350044
P(t | w ) = 0.002055471023197459
P(u | w ) = 0.0016283601612343504
P(v | w ) = 0.00018686100210885988
P(w | w ) = 0.0013614158725074076
P(x | w ) = 2.6694428872694267e-05
P(y | w ) = 0.0013614158725074076
P(z | w ) = 2.6694428872694267e-05
P(a | x ) = 0.09765013054830288
P(  | x ) = 0.0005221932114882506
P(b | x ) = 0.0036553524804177544
P(c | x ) = 0.16866840731070495
P(d | x ) = 0.0005221932114882506
P(e | x ) = 0.1185378590078329
P(f | x ) = 0.0026109660574412533
P(g | x ) = 0.001566579634464752
P(h | x ) = 0.0391644908616188
P(i | x ) = 0.09451697127937336
P(j | x ) = 0.0005221932114882506
P(k | x ) = 0.0005221932114882506
P(l | x ) = 0.0036553524804177544
P(m | x ) = 0.013054830287206266
P(n | x ) = 0.0026109660574412533
P(o | x ) = 0.007832898172323759
P(p | x ) = 0.19373368146214098
P(q | x ) = 0.001566579634464752
P(r | x ) = 0.0005221932114882506
P(s | x ) = 0.0026109660574412533
P(t | x ) = 0.22715404699738903
P(u | x ) = 0.007832898172323759
P(v | x ) = 0.001566579634464752
P(w | x ) = 0.0005221932114882506
P(x | x ) = 0.0005221932114882506
P(y | x ) = 0.007832898172323759
P(z | x ) = 0.0005221932114882506
P(a | y ) = 0.06333247400532784
P(  | y ) = 8.593280054996992e-05
P(b | y ) = 0.013663315287445217
P(c | y ) = 0.016585030506144197
P(d | y ) = 0.01074160006874624
P(e | y ) = 0.2764458193692532
P(f | y ) = 0.012803987281945518
P(g | y ) = 0.004038841625848586
P(h | y ) = 0.01967861132594311
P(i | y ) = 0.06144195239322849
P(j | y ) = 0.0016327232104494285
P(k | y ) = 0.0004296640027498496
P(l | y ) = 0.016241299303944315
P(m | y ) = 0.02208472974134227
P(n | y ) = 0.008679212855546962
P(o | y ) = 0.23863538712726648
P(p | y ) = 0.02036607373034287
P(q | y ) = 0.0007733952049497294
P(r | y ) = 0.015381971298444616
P(s | y ) = 0.1356878920684025
P(t | y ) = 0.03445905302053794
P(u | y ) = 0.005413766434648105
P(v | y ) = 0.002492051215949128
P(w | y ) = 0.016585030506144197
P(x | y ) = 8.593280054996992e-05
P(y | y ) = 0.0021483200137492483
P(z | y ) = 8.593280054996992e-05
P(a | z ) = 0.0791007493755204
P(  | z ) = 0.0008326394671107411
P(b | z ) = 0.00749375520399667
P(c | z ) = 0.0008326394671107411
P(d | z ) = 0.002497918401332223
P(e | z ) = 0.443796835970025
P(f | z ) = 0.0008326394671107411
P(g | z ) = 0.0008326394671107411
P(h | z ) = 0.002497918401332223
P(i | z ) = 0.18401332223147376
P(j | z ) = 0.0008326394671107411
P(k | z ) = 0.0008326394671107411
P(l | z ) = 0.03413821815154038
P(m | z ) = 0.0008326394671107411
P(n | z ) = 0.0008326394671107411
P(o | z ) = 0.10907577019150708
P(p | z ) = 0.0008326394671107411
P(q | z ) = 0.0008326394671107411
P(r | z ) = 0.0008326394671107411
P(s | z ) = 0.0008326394671107411
P(t | z ) = 0.0008326394671107411
P(u | z ) = 0.012489592006661115
P(v | z ) = 0.0008326394671107411
P(w | z ) = 0.0008326394671107411
P(x | z ) = 0.0008326394671107411
P(y | z ) = 0.04079933388842631
P(z | z ) = 0.07077435470441298
